X,Y,Z,formation
661365.0,5942625.0,661.0,clay
658106.0,5942539.0,660.0,clay
663105.0,5939454.0,665.0,clay
663105.0,5939454.0,664.0,clay
659734.0,5942595.0,669.0,clay
659734.0,5942595.0,660.0,clay
658216.0,5939298.0,682.0,clay
659789.0,5940965.0,666.0,clay
661419.0,5941022.0,667.0,clay
656585.0,5939239.0,687.0,clay
658106.0,5942539.0,658.0,shale
658216.0,5939298.0,675.0,shale
659865.0,5939355.0,663.0,shale
658166.0,5940910.0,666.0,shale
663071.0,5941066.0,664.0,shale
656585.0,5939239.0,677.0,shale
656480.0,5942480.0,667.0,shale
661365.0,5942625.0,672.0,till
658106.0,5942539.0,672.0,till
658106.0,5942539.0,667.0,till
663105.0,5939454.0,673.0,till
659734.0,5942595.0,670.0,till
659865.0,5939355.0,671.0,till
659865.0,5939355.0,670.0,till
659789.0,5940965.0,672.0,till
658166.0,5940910.0,672.0,till
663071.0,5941066.0,673.0,till
663071.0,5941066.0,667.0,till
661475.0,5939384.0,672.0,till
661475.0,5939384.0,669.0,till
661419.0,5941022.0,675.0,till
661419.0,5941022.0,672.0,till
656533.0,5940849.0,686.0,till
662997.0,5942700.0,670.0,till
656480.0,5942480.0,673.0,till
